ID,Confirmed,Deaths
0,516028,10612
1,62965,313
2,842183,16990
3,330729,5627
4,3670417,59426
5,463747,6115
6,312504,7905
7,94937,1562
8,2062190,33499
9,1060981,19098
10,30843,465
11,180948,1966
12,1247282,23615
13,687371,13049
14,351914,5764
15,303895,4878
16,427495,6135
17,445092,10149
18,50706,747
19,412774,8299
20,638074,17223
21,753016,17183
22,521152,6941
23,305415,7035
24,582189,8876
25,104675,1439
26,209462,2183
27,303974,5260
28,84581,1242
29,913040,24600
30,191786,3942
31,1879896,50390
32,914456,12128
33,103244,1501
34,1019445,19042
35,440072,4950
36,165269,2388
37,1031975,25091
38,137547,2622
39,552359,9176
40,118021,1939
41,812507,11915
42,2793934,48286
43,386127,2130
44,19419,228
45,619738,10272
46,365154,5252
47,142079,2691
48,636872,7325
49,56382,698
50,516682,10678
51,63045,314
52,842444,17001
53,330965,5627
54,3672006,59570
55,465171,6121
56,313836,7905
57,95124,1565
58,2065746,33566
59,1061849,19112
60,30934,467
61,181381,1971
62,1250024,23644
63,687979,13060
64,352355,5785
65,304176,4894
66,427927,6179
67,445407,10162
68,50870,749
69,414184,8313
70,640200,17253
71,760340,17183
72,522882,6962
73,305607,7036
74,582440,8868
75,104749,1439
76,209615,2185
77,304150,5267
78,84973,1243
79,918131,24642
80,191887,3946
81,1888028,50483
82,915973,12167
83,103363,1502
84,1021104,19051
85,440321,4953
86,165480,2393
87,1036387,25093
88,137855,2623
89,553041,9196
90,118253,1942
91,813484,11935
92,2797178,48366
93,386535,2137
94,19574,229
95,620384,10296
96,366048,5263
97,142366,2703
98,637437,7324
99,56457,702
100,517285,10737
101,63259,317
102,842620,17007
103,331163,5625
104,3673702,59700
105,466211,6118
106,314629,7899
107,95300,1568
108,2068961,33637
109,1062580,19133
110,31025,469
111,181828,1975
112,1252522,23664
113,688496,13070
114,352764,5800
115,304251,4903
116,428310,6213
117,445702,10176
118,51033,752
119,415565,8326
120,641869,17279
121,769056,17224
122,524604,6980
123,305735,7044
124,582610,8868
125,104840,1440
126,209790,2188
127,304280,5272
128,85309,1242
129,923101,24685
130,191928,3948
131,1895770,50571
132,917231,12203
133,103488,1503
134,1023036,19059
135,440437,4952
136,165695,2398
137,1040959,25103
138,138207,2626
139,553617,9220
140,118453,1944
141,814371,11961
142,2800617,48489
143,386855,2142
144,19733,231
145,621102,10322
146,366945,5271
147,142637,2711
148,638019,7330
149,56528,703
150,517771,10782
151,63415,318
152,842753,17021
153,331345,5622
154,3675192,59819
155,467174,6116
156,316314,7904
157,95479,1571
158,2072328,33716
159,1063470,19167
160,31119,471
161,182284,1980
162,1254956,23680
163,688941,13084
164,353202,5816
165,304407,4917
166,428726,6247
167,445977,10188
168,51203,756
169,416917,8340
170,643294,17304
171,777465,17243
172,526358,7001
173,305834,7050
174,582784,8881
175,104960,1443
176,209947,2192
177,304385,5279
178,85647,1243
179,927904,24720
180,191994,3951
181,1903268,50657
182,918558,12239
183,103626,1504
184,1025207,19067
185,440521,4964
186,165899,2406
187,1045715,25127
188,138623,2629
189,554263,9240
190,118655,1944
191,815390,11988
192,2803633,48624
193,387099,2146
194,19887,232
195,621891,10348
196,367860,5291
197,142914,2719
198,638571,7337
199,56592,705
200,518193,10819
201,63558,319
202,842909,17043
203,331534,5620
204,3676635,59934
205,468288,6117
206,318434,7910
207,95652,1573
208,2075947,33798
209,1064468,19206
210,31215,473
211,182744,1984
212,1257517,23700
213,689364,13100
214,353664,5833
215,304535,4928
216,429198,6285
217,446247,10199
218,51371,759
219,418261,8354
220,644638,17332
221,787192,17277
222,528124,7022
223,305939,7053
224,583019,8910
225,105082,1446
226,210114,2195
227,304488,5287
228,86007,1244
229,932932,24756
230,192083,3955
231,1910759,50743
232,919493,12263
233,103775,1506
234,1027487,19074
235,440649,4973
236,166092,2414
237,1050709,25157
238,138978,2632
239,554957,9262
240,118878,1945
241,816351,12015
242,2805886,48739
243,387353,2151
244,20042,233
245,622688,10374
246,368780,5306
247,143178,2727
248,639214,7347
249,56665,706
250,518586,10852
251,63691,320
252,843101,17068
253,331743,5619
254,3678125,60053
255,469660,6122
256,320104,7910
257,95822,1576
258,2079576,33879
259,1065470,19245
260,31309,475
261,183222,1989
262,1260297,23727
263,689799,13116
264,354128,5852
265,304638,4939
266,429691,6327
267,446503,10210
268,51533,762
269,419632,8369
270,645981,17362
271,796951,17312
272,529912,7043
273,306075,7060
274,583297,8935
275,105197,1449
276,210278,2198
277,304607,5297
278,86385,1246
279,938126,24799
280,192205,3961
281,1918392,50830
282,920345,12282
283,103928,1507
284,1029740,19081
285,440825,4982
286,166277,2421
287,1055916,25184
288,139341,2634
289,555691,9280
290,119117,1947
291,817314,12040
292,2807568,48825
293,387659,2155
294,20196,234
295,623438,10400
296,369693,5321
297,143434,2735
298,639897,7356
299,56730,708
300,518979,10886
301,63833,321
302,843301,17087
303,331958,5618
304,3679533,60173
305,471190,6128
306,321810,7912
307,95989,1579
308,2082996,33957
309,1066395,19278
310,31402,477
311,183717,1993
312,1263274,23758
313,690236,13134
314,354570,5870
315,304764,4950
316,430164,6368
317,446761,10221
318,51690,764
319,421039,8385
320,647314,17393
321,807783,17341
322,531720,7064
323,306233,7067
324,583586,8953
325,105306,1451
326,210438,2201
327,304732,5306
328,86776,1248
329,943369,24843
330,192319,3966
331,1926078,50917
332,921148,12300
333,104078,1509
334,1031978,19088
335,441010,4989
336,166455,2428
337,1061290,25206
338,139699,2637
339,556401,9298
